date,region,total_cases,flu,covid,malaria,dengue,typhoid,pneumonia,cold
2023-04-21,East,60,10,2,2,7,3,0,1
2023-04-21,West,115,14,1,9,11,3,8,11
2023-04-21,Central,120,9,11,15,3,3,14,9
2023-04-22,North,79,6,10,8,7,1,1,13
2023-04-22,South,112,8,6,13,8,3,3,11
2023-04-22,East,61,15,1,6,11,1,0,0
2023-04-22,West,129,10,4,15,12,1,5,13
2023-04-22,Central,112,7,10,7,8,3,12,2
2023-04-23,North,102,2,9,13,7,1,1,12
2023-04-23,South,90,5,7,5,8,1,1,9
2023-04-23,East,72,12,9,3,13,0,0,0
2023-04-23,West,122,18,3,9,8,4,11,16
2023-04-23,Central,120,15,8,10,15,7,8,6
2023-04-24,North,78,8,5,14,4,1,0,11
2023-04-24,South,97,7,4,5,7,2,2,14
2023-04-24,East,61,9,6,3,15,1,0,0
2023-04-24,West,119,14,2,4,7,8,5,14
2023-04-24,Central,136,6,9,16,12,3,8,9
2023-04-25,North,87,5,8,7,8,4,1,7
2023-04-25,South,113,8,8,10,8,2,1,11
2023-04-25,East,63,12,9,2,7,5,0,2
2023-04-25,West,151,12,5,17,8,5,8,15
2023-04-25,Central,117,8,14,11,14,1,4,4
2023-04-26,North,94,7,5,17,6,4,0,19
2023-04-26,South,121,10,10,9,9,0,1,14
2023-04-26,East,66,7,13,2,16,0,0,1
2023-04-26,West,130,11,3,6,7,7,3,16
2023-04-26,Central,125,6,6,10,9,7,11,7
2023-04-27,North,97,5,5,10,11,4,1,16
2023-04-27,South,109,8,11,15,9,1,5,8
2023-04-27,East,82,11,5,3,6,1,1,2
2023-04-27,West,128,9,2,9,8,7,6,6
2023-04-27,Central,124,5,9,8,12,3,7,9
2023-04-28,North,104,9,6,8,13,2,1,11
2023-04-28,South,124,13,7,21,6,1,3,24
2023-04-28,East,72,5,7,2,6,7,0,5
2023-04-28,West,126,6,5,11,6,4,8,11
2023-04-28,Central,122,13,7,6,13,12,6,9
2023-04-29,North,111,6,4,13,13,3,3,9
2023-04-29,South,99,9,4,11,12,1,4,11
2023-04-29,East,72,11,6,1,10,0,1,8
2023-04-29,West,104,13,5,8,7,4,8,14
2023-04-29,Central,122,9,5,14,12,5,12,7
2023-04-30,North,94,8,5,11,10,1,8,14
2023-04-30,South,121,18,9,5,7,0,2,14
2023-04-30,East,65,11,7,2,11,0,1,4
2023-04-30,West,119,12,7,8,6,2,7,16
2023-04-30,Central,116,14,9,12,15,6,7,2
2023-05-01,North,101,8,5,5,7,0,9,14
2023-05-01,South,111,8,6,5,10,2,7,11
2023-05-01,East,87,12,6,7,7,4,1,2
2023-05-01,West,126,10,3,10,14,2,10,15
2023-05-01,Central,131,7,8,9,8,4,10,7
2023-05-02,North,115,8,12,12,3,2,8,15
2023-05-02,South,113,7,6,12,7,3,7,12
2023-05-02,East,78,9,8,4,8,2,1,3
2023-05-02,West,132,7,6,9,10,5,7,13
2023-05-02,Central,106,7,7,6,11,5,9,0
2023-05-03,North,96,8,5,7,5,1,7,12
2023-05-03,South,120,12,5,18,6,2,5,15
2023-05-03,East,71,7,7,5,11,1,2,4
2023-05-03,West,138,11,8,12,11,1,6,16
2023-05-03,Central,118,8,7,12,4,5,3,5
2023-05-04,North,113,9,11,9,8,1,4,10
2023-05-04,South,111,7,9,14,11,0,6,13
2023-05-04,East,66,12,8,3,6,3,1,4
2023-05-04,West,129,15,4,16,7,5,2,15
2023-05-04,Central,93,5,9,15,13,3,5,8
2023-05-05,North,115,13,9,25,14,5,6,14
2023-05-05,South,122,8,7,13,13,2,4,7
2023-05-05,East,87,5,7,3,8,0,1,6
2023-05-05,West,125,7,5,14,15,1,3,14
2023-05-05,Central,125,7,7,10,10,4,1,6
2023-05-06,North,102,5,2,7,7,1,11,8
2023-05-06,South,104,12,6,11,10,1,3,12
2023-05-06,East,72,12,6,4,8,2,1,7
2023-05-06,West,147,10,5,10,8,7,9,17
2023-05-06,Central,128,8,11,10,9,5,9,2
2023-05-07,North,106,7,6,13,9,1,8,7
2023-05-07,South,110,2,7,17,3,1,8,7
2023-05-07,East,100,13,6,6,11,0,4,7
2023-05-07,West,141,11,4,12,8,3,4,16
2023-05-07,Central,124,11,8,12,10,7,6,4
2023-05-08,North,86,3,5,6,12,0,8,4
2023-05-08,South,111,14,10,7,9,3,5,19
2023-05-08,East,85,8,8,1,10,1,2,5
2023-05-08,West,121,6,7,9,11,12,5,9
2023-05-08,Central,116,8,14,13,5,5,7,10
2023-05-09,North,90,4,3,13,10,0,7,11
2023-05-09,South,121,8,12,10,8,0,11,14
2023-05-09,East,78,5,7,5,9,4,2,4
2023-05-09,West,125,9,4,13,7,6,6,11
2023-05-09,Central,107,10,8,17,13,8,3,12
2023-05-10,North,96,5,4,15,10,0,8,10
2023-05-10,South,106,9,5,8,15,0,11,15
2023-05-10,East,95,8,13,0,6,2,7,6
2023-05-10,West,134,10,7,12,9,7,6,8
2023-05-10,Central,134,8,10,12,8,11,10,15
2023-05-11,North,86,11,4,8,11,0,5,15
2023-05-11,South,127,4,9,7,14,2,4,17
2023-05-11,East,75,10,5,6,7,1,0,6
2023-05-11,West,131,14,3,10,12,3,4,8
2023-05-11,Central,112,8,8,15,10,5,13,6
2023-05-12,North,85,5,7,14,13,0,6,5
2023-05-12,South,105,11,12,9,14,2,9,13
2023-05-12,East,68,8,6,5,8,1,2,10
2023-05-12,West,127,11,9,15,11,3,7,15
2023-05-12,Central,106,7,6,14,5,1,8,12
2023-05-13,North,113,6,11,13,10,1,3,11
2023-05-13,South,116,8,5,9,6,0,6,13
2023-05-13,East,87,11,13,1,9,2,4,5
2023-05-13,West,125,7,6,10,9,3,6,14
2023-05-13,Central,115,7,5,7,7,5,5,27
2023-05-14,North,118,11,7,10,9,1,10,3
2023-05-14,South,99,4,7,15,9,2,6,6
2023-05-14,East,101,6,7,5,10,2,2,5
2023-05-14,West,131,7,4,10,10,7,6,14
2023-05-14,Central,116,7,2,15,8,3,3,21
2023-05-15,North,114,9,9,14,7,1,9,10
2023-05-15,South,122,8,12,18,3,1,6,8
2023-05-15,East,80,6,11,8,13,2,2,5
2023-05-15,West,111,6,12,12,8,1,2,13
2023-05-15,Central,134,14,7,7,11,3,14,13
2023-05-16,North,105,6,9,10,4,3,6,12
2023-05-16,South,116,13,13,14,6,1,10,8
2023-05-16,East,101,7,10,2,5,0,4,4
2023-05-16,West,108,9,7,10,14,7,6,13
2023-05-16,Central,132,11,15,13,6,7,6,9
2023-05-17,North,115,19,4,12,4,0,4,10
2023-05-17,South,110,7,12,6,11,0,7,10
2023-05-17,East,75,7,11,1,7,0,1,4
2023-05-17,West,126,7,5,14,3,4,7,14
2023-05-17,Central,128,12,7,10,4,3,8,17
2023-05-18,North,103,14,6,15,7,2,3,17
2023-05-18,South,125,13,6,10,5,2,9,9
2023-05-18,East,86,8,9,2,8,4,5,2
2023-05-18,West,122,11,9,13,14,4,5,8
2023-05-18,Central,123,7,7,9,4,5,7,13
2023-05-19,North,110,11,9,9,5,1,4,17
2023-05-19,South,106,7,15,8,14,0,7,12
2023-05-19,East,99,10,3,4,4,4,5,4
2023-05-19,West,113,7,8,10,10,4,4,10
2023-05-19,Central,136,14,6,5,8,4,7,7
2023-05-20,North,105,11,12,7,6,3,6,14
2023-05-20,South,112,16,5,6,10,1,3,14
2023-05-20,East,105,9,9,2,10,2,4,5
2023-05-20,West,122,12,4,13,9,2,6,8
2023-05-20,Central,115,17,11,14,6,12,5,16
2023-05-21,North,122,7,7,13,7,3,9,11
2023-05-21,South,102,13,8,10,5,2,4,13
2023-05-21,East,82,9,5,8,8,1,3,4
2023-05-21,West,108,16,7,16,8,7,6,11
2023-05-21,Central,136,8,6,19,3,3,5,18
2023-05-22,North,100,6,6,8,2,0,8,20
2023-05-22,South,78,5,10,12,9,3,8,11
2023-05-22,East,102,9,5,7,8,3,6,4
2023-05-22,West,115,12,10,15,10,4,10,10
2023-05-22,Central,120,11,10,9,5,2,10,17
2023-05-23,North,109,4,10,7,1,5,8,17
2023-05-23,South,128,5,9,7,8,2,8,20
2023-05-23,East,82,14,9,3,5,2,8,5
2023-05-23,West,96,5,7,11,9,3,10,21
2023-05-23,Central,117,13,6,15,3,2,8,14
2023-05-24,North,112,7,11,4,3,3,11,16
2023-05-24,South,129,15,9,7,5,3,6,8
2023-05-24,East,110,4,6,3,11,5,5,2
2023-05-24,West,123,7,5,8,2,5,2,15
2023-05-24,Central,121,7,5,8,7,4,6,16
2023-05-25,North,101,8,6,5,4,2,5,9
2023-05-25,South,122,5,10,7,10,0,11,12
2023-05-25,East,93,5,10,4,8,4,2,3
2023-05-25,West,122,8,5,12,3,3,7,8
2023-05-25,Central,121,7,9,8,0,5,6,13
2023-05-26,North,113,11,8,13,7,4,8,8
2023-05-26,South,123,7,5,14,4,0,8,17
2023-05-26,East,90,4,4,5,9,6,9,4
2023-05-26,West,119,4,4,5,8,3,6,15
2023-05-26,Central,128,8,10,15,3,3,5,15
2023-05-27,North,108,6,10,8,8,3,5,15
2023-05-27,South,109,11,9,16,7,1,10,15
2023-05-27,East,111,5,6,7,6,5,2,5
2023-05-27,West,125,8,6,7,4,3,8,11
2023-05-27,Central,121,8,8,15,5,6,5,11
2023-05-28,North,112,7,10,7,2,4,9,15
2023-05-28,South,108,6,8,11,9,3,9,13
2023-05-28,East,96,7,8,9,4,8,14,0
2023-05-28,West,104,8,9,10,6,6,11,8
2023-05-28,Central,95,8,7,8,3,9,9,11
2023-05-29,North,126,5,10,8,4,3,7,10
2023-05-29,South,131,10,12,16,6,2,4,8
2023-05-29,East,105,5,8,4,3,3,9,4
2023-05-29,West,101,6,6,7,5,7,7,11
2023-05-29,Central,105,8,10,12,4,7,2,13
2023-05-30,North,131,11,5,8,8,1,8,14
2023-05-30,South,99,10,1,9,2,4,6,13
2023-05-30,East,89,8,8,9,9,1,7,10
2023-05-30,West,110,6,7,8,5,8,6,11
2023-05-30,Central,114,7,11,13,0,8,4,9
2023-05-31,North,102,9,7,7,8,2,2,9
2023-05-31,South,113,10,4,3,7,3,4,10
2023-05-31,East,120,7,11,7,7,0,7,4
2023-05-31,West,114,6,3,13,1,2,5,4
2023-05-31,Central,114,8,3,15,4,9,11,10
2023-06-01,North,99,7,6,3,6,1,7,14
2023-06-01,South,124,15,5,9,8,3,8,7
2023-06-01,East,117,11,5,7,13,4,4,8
2023-06-01,West,101,3,6,6,2,4,5,9
2023-06-01,Central,108,6,4,7,4,4,8,10
2023-06-02,North,94,7,6,7,4,1,2,15
2023-06-02,South,99,8,4,3,10,2,3,5
2023-06-02,East,110,12,7,4,10,4,10,3
2023-06-02,West,111,10,11,12,4,2,4,8
2023-06-02,Central,107,6,8,10,2,6,6,13
2023-06-03,North,105,8,7,4,4,0,5,9
2023-06-03,South,103,13,5,8,5,4,8,12
2023-06-03,East,133,10,7,5,6,6,12,8
2023-06-03,West,128,9,3,10,3,8,6,9
2023-06-03,Central,112,9,6,10,6,4,5,10
2023-06-04,North,81,5,5,6,3,2,7,5
2023-06-04,South,93,4,7,13,10,2,8,15
2023-06-04,East,103,7,10,7,9,8,5,11
2023-06-04,West,97,9,4,8,4,2,10,11
2023-06-04,Central,106,11,13,9,4,5,2,10
2023-06-05,North,89,10,6,2,5,2,5,9
2023-06-05,South,107,11,11,11,4,1,5,14
2023-06-05,East,114,7,10,7,4,4,3,15
2023-06-05,West,102,5,6,3,4,7,7,12
2023-06-05,Central,87,8,11,11,5,3,11,13
2023-06-06,North,88,10,4,4,8,3,9,18
2023-06-06,South,117,8,6,12,7,4,6,13
2023-06-06,East,102,6,12,6,3,6,2,14
2023-06-06,West,104,6,3,12,7,1,4,12
2023-06-06,Central,106,6,6,9,1,1,3,15
2023-06-07,North,87,8,7,5,3,1,5,15
2023-06-07,South,109,10,11,12,6,5,4,17
2023-06-07,East,100,9,7,4,4,2,3,11
2023-06-07,West,97,9,6,11,5,2,2,17
2023-06-07,Central,103,7,11,12,7,3,5,13
2023-06-08,North,79,14,5,3,3,2,7,17
2023-06-08,South,98,11,4,14,4,2,4,21
2023-06-08,East,96,8,5,7,10,3,2,12
2023-06-08,West,112,8,3,15,3,5,0,15
2023-06-08,Central,109,8,11,14,2,4,1,19
2023-06-09,North,95,7,7,9,2,0,7,8
2023-06-09,South,101,14,5,18,6,4,2,14
2023-06-09,East,89,6,5,6,3,1,5,14
2023-06-09,West,110,3,4,14,3,2,7,10
2023-06-09,Central,87,7,8,10,0,5,8,11
2023-06-10,North,82,8,7,5,4,1,6,14
2023-06-10,South,116,10,5,16,7,9,7,14
2023-06-10,East,111,12,5,5,5,5,4,8
2023-06-10,West,105,4,4,13,1,5,7,14
2023-06-10,Central,90,6,3,7,1,4,8,10
2023-06-11,North,89,14,3,5,4,0,4,7
2023-06-11,South,122,14,5,18,11,3,7,19
2023-06-11,East,100,10,3,1,5,7,6,10
2023-06-11,West,133,9,9,15,0,6,7,19
2023-06-11,Central,99,5,9,11,1,2,8,21
2023-06-12,North,74,4,1,3,4,5,7,16
2023-06-12,South,139,14,3,10,7,0,5,20
2023-06-12,East,106,8,7,8,10,6,9,11
2023-06-12,West,120,7,2,10,1,6,7,7
2023-06-12,Central,78,9,6,9,1,0,4,17
2023-06-13,North,81,7,4,3,4,1,8,14
2023-06-13,South,115,8,8,8,4,3,6,15
2023-06-13,East,105,4,6,0,13,9,2,7
2023-06-13,West,128,8,10,14,4,1,5,13
2023-06-13,Central,96,7,15,13,1,0,4,12
2023-06-14,North,66,4,5,3,1,2,7,5
2023-06-14,South,120,10,4,8,6,6,7,16
2023-06-14,East,102,16,7,9,5,8,6,9
2023-06-14,West,118,9,8,8,1,5,5,10
2023-06-14,Central,83,2,7,12,2,0,4,14
2023-06-15,North,65,7,1,10,0,2,11,2
2023-06-15,South,134,9,9,16,4,9,6,11
2023-06-15,East,91,8,9,8,7,1,5,9
2023-06-15,West,116,8,4,7,4,4,8,14
2023-06-15,Central,97,7,3,15,5,2,4,11
2023-06-16,North,76,11,5,5,2,2,6,6
2023-06-16,South,127,4,2,10,6,8,15,8
2023-06-16,East,129,8,8,8,8,3,8,17
2023-06-16,West,108,7,13,19,2,3,6,14
2023-06-16,Central,106,6,7,20,4,0,1,15
2023-06-17,North,84,6,9,5,1,1,15,6
2023-06-17,South,123,10,6,11,12,6,7,18
2023-06-17,East,106,9,10,10,6,2,3,11
2023-06-17,West,96,9,3,4,2,5,5,16
2023-06-17,Central,105,13,2,15,4,2,2,12
2023-06-18,North,71,10,3,6,0,3,10,3
2023-06-18,South,130,7,3,8,10,5,11,16
2023-06-18,East,100,9,9,7,2,1,5,14
2023-06-18,West,91,10,5,10,1,4,9,15
2023-06-18,Central,82,7,4,7,3,2,3,13
2023-06-19,North,77,5,2,8,0,1,9,9
2023-06-19,South,149,8,6,10,14,8,8,7
2023-06-19,East,112,11,10,7,8,4,5,8
2023-06-19,West,78,7,7,13,2,5,5,12
2023-06-19,Central,68,6,8,7,2,1,1,8
2023-06-20,North,96,8,8,7,1,2,6,11
2023-06-20,South,143,12,6,11,6,6,2,9
2023-06-20,East,128,12,3,7,10,8,9,11
2023-06-20,West,84,10,7,15,4,3,6,16
2023-06-20,Central,95,7,4,12,3,1,1,13
2023-06-21,North,64,10,10,4,0,4,10,3
2023-06-21,South,117,10,9,7,11,8,10,11
2023-06-21,East,125,9,5,6,6,3,11,16
2023-06-21,West,88,6,7,7,1,0,7,12
2023-06-21,Central,68,5,7,9,2,0,6,8
2023-06-22,North,76,14,8,8,2,1,7,9
2023-06-22,South,110,11,9,3,8,4,5,21
2023-06-22,East,117,12,11,10,4,4,7,9
2023-06-22,West,99,8,6,9,1,3,5,20
2023-06-22,Central,85,9,11,14,2,2,1,8
2023-06-23,North,77,15,4,2,0,1,4,4
2023-06-23,South,108,6,6,9,7,6,3,5
2023-06-23,East,119,5,11,9,11,6,9,15
2023-06-23,West,95,5,9,11,0,8,7,22
2023-06-23,Central,84,6,5,7,2,0,1,9
2023-06-24,North,68,10,5,3,0,0,7,13
2023-06-24,South,112,9,5,8,5,4,8,12
2023-06-24,East,120,11,6,5,8,5,4,10
2023-06-24,West,77,2,15,8,1,5,9,17
2023-06-24,Central,82,7,10,10,3,0,3,11
2023-06-25,North,80,8,7,2,2,3,2,11
2023-06-25,South,119,3,7,6,7,4,5,9
2023-06-25,East,130,9,12,5,12,2,8,6
2023-06-25,West,86,5,10,3,2,4,5,14
2023-06-25,Central,80,4,6,14,4,1,2,8
2023-06-26,North,79,4,7,2,0,1,12,7
2023-06-26,South,110,4,4,6,13,0,5,13
2023-06-26,East,131,18,10,5,9,4,9,11
2023-06-26,West,95,6,5,3,2,3,5,11
2023-06-26,Central,73,7,2,14,2,0,3,13
2023-06-27,North,95,6,5,7,0,4,3,5
2023-06-27,South,107,6,4,8,7,1,9,15
2023-06-27,East,121,8,14,12,5,2,3,13
2023-06-27,West,94,7,7,5,0,5,2,15
2023-06-27,Central,66,7,3,10,2,0,4,10
2023-06-28,North,82,8,12,7,1,3,7,9
2023-06-28,South,102,5,6,3,8,3,10,16
2023-06-28,East,112,17,8,9,12,4,5,16
2023-06-28,West,90,14,5,9,2,3,4,10
2023-06-28,Central,69,10,11,18,1,0,3,4
2023-06-29,North,80,8,7,1,1,2,7,6
2023-06-29,South,112,5,9,2,0,5,6,8
2023-06-29,East,110,8,10,16,5,2,8,3
2023-06-29,West,100,6,3,2,7,3,4,8
2023-06-29,Central,59,5,4,16,1,0,4,5
2023-06-30,North,110,11,8,10,0,2,6,16
2023-06-30,South,123,10,5,2,6,4,4,15
2023-06-30,East,129,14,10,14,5,6,6,11
2023-06-30,West,98,10,8,5,1,2,9,7
2023-06-30,Central,69,5,6,8,0,0,2,4
2023-07-01,North,91,13,6,14,0,2,7,10
2023-07-01,South,80,5,5,0,13,5,3,17
2023-07-01,East,141,14,8,8,9,5,9,10
2023-07-01,West,114,6,6,5,0,7,6,10
2023-07-01,Central,64,9,5,15,0,0,4,6
2023-07-02,North,100,7,8,5,1,6,3,14
2023-07-02,South,98,7,2,3,6,7,3,15
2023-07-02,East,122,14,9,12,7,3,4,5
2023-07-02,West,88,6,6,2,3,2,10,8
2023-07-02,Central,57,7,2,17,2,0,4,7
2023-07-03,North,84,9,6,8,1,6,8,13
2023-07-03,South,92,2,5,3,5,5,7,13
2023-07-03,East,103,4,12,11,9,4,5,2
2023-07-03,West,98,9,9,4,1,3,5,6
2023-07-03,Central,60,10,6,9,0,2,2,8
2023-07-04,North,109,13,6,7,1,10,8,6
2023-07-04,South,100,11,4,3,6,5,1,15
2023-07-04,East,121,6,5,11,9,1,2,3
2023-07-04,West,102,9,8,2,4,2,8,12
2023-07-04,Central,72,7,8,8,3,1,5,6
2023-07-05,North,81,10,2,5,3,4,8,12
2023-07-05,South,99,7,8,1,11,5,3,16
2023-07-05,East,127,13,5,13,10,8,4,4
2023-07-05,West,112,11,6,4,7,4,7,12
2023-07-05,Central,56,3,3,15,2,1,3,3
2023-07-06,North,93,10,10,6,1,3,5,10
2023-07-06,South,89,9,5,3,7,3,6,13
2023-07-06,East,115,9,5,5,6,5,11,4
2023-07-06,West,113,9,10,6,5,7,4,12
2023-07-06,Central,67,14,6,16,0,0,3,4
2023-07-07,North,93,9,7,8,4,7,5,5
2023-07-07,South,102,8,6,0,8,6,4,14
2023-07-07,East,101,5,7,9,9,2,4,3
2023-07-07,West,105,7,8,4,5,6,3,14
2023-07-07,Central,57,7,5,7,1,0,1,3
2023-07-08,North,115,13,7,4,2,4,6,4
2023-07-08,South,94,6,5,0,14,8,5,11
2023-07-08,East,96,6,6,7,8,3,11,2
2023-07-08,West,99,6,8,1,4,4,5,16
2023-07-08,Central,57,7,5,11,2,1,3,2
2023-07-09,North,100,5,10,5,4,2,10,6
2023-07-09,South,85,4,7,0,11,5,4,16
2023-07-09,East,112,8,4,2,3,7,7,3
2023-07-09,West,63,7,5,3,0,4,2,9
2023-07-09,Central,56,7,4,7,2,0,2,4
2023-07-10,North,80,8,9,11,1,1,6,7
2023-07-10,South,105,14,5,1,13,4,3,17
2023-07-10,East,98,5,7,1,12,6,2,4
2023-07-10,West,66,8,0,1,1,2,6,6
2023-07-10,Central,61,5,5,12,1,0,3,4
2023-07-11,North,98,17,4,7,0,2,5,3
2023-07-11,South,113,7,1,1,6,6,1,13
2023-07-11,East,84,11,6,5,12,5,4,2
2023-07-11,West,95,6,0,4,5,4,2,11
2023-07-11,Central,48,9,4,13,2,0,3,10
2023-07-12,North,62,16,4,2,0,1,4,6
2023-07-12,South,87,4,4,4,11,5,2,20
2023-07-12,East,94,15,4,4,6,6,5,6
2023-07-12,West,92,7,6,2,4,5,2,5
2023-07-12,Central,60,5,4,10,11,2,5,11
2023-07-13,North,74,7,4,6,3,1,8,8
2023-07-13,South,101,10,6,2,7,1,4,12
2023-07-13,East,89,8,4,7,5,2,7,6
2023-07-13,West,96,8,7,4,7,2,2,7
2023-07-13,Central,69,7,7,4,6,0,2,10
2023-07-14,North,80,7,5,2,1,1,4,6
2023-07-14,South,91,4,7,0,3,2,1,12
2023-07-14,East,104,6,5,4,6,4,5,9
2023-07-14,West,90,7,15,4,4,4,7,5
2023-07-14,Central,68,2,3,11,5,0,4,9
2023-07-15,North,88,8,5,3,4,0,8,8
2023-07-15,South,106,11,4,0,11,1,2,11
2023-07-15,East,103,5,4,2,4,4,3,11
2023-07-15,West,96,13,8,1,4,5,7,15
2023-07-15,Central,74,3,1,9,9,1,4,11
2023-07-16,North,81,2,9,6,2,3,6,6
2023-07-16,South,75,10,6,1,7,2,0,8
2023-07-16,East,94,9,4,0,4,3,5,11
2023-07-16,West,84,3,2,10,8,4,5,14
2023-07-16,Central,67,4,5,7,3,0,1,8
2023-07-17,North,77,8,6,5,2,1,4,4
2023-07-17,South,78,12,6,0,9,6,0,14
2023-07-17,East,95,12,13,0,4,1,4,5
2023-07-17,West,95,8,6,3,8,6,8,10
2023-07-17,Central,63,1,2,14,4,1,2,10
2023-07-18,North,63,6,8,5,2,0,5,2
2023-07-18,South,82,4,2,1,3,3,0,12
2023-07-18,East,84,13,3,0,9,6,3,10
2023-07-18,West,117,7,6,8,4,2,5,12
2023-07-18,Central,68,1,3,8,5,2,2,6
2023-07-19,North,48,8,5,2,5,0,8,6
2023-07-19,South,93,9,8,2,8,3,2,15
2023-07-19,East,84,5,5,2,5,5,5,9
2023-07-19,West,90,8,4,12,5,0,5,6
2023-07-19,Central,61,2,0,10,4,2,7,13
2023-07-20,North,59,8,7,1,2,0,11,2
2023-07-20,South,90,10,5,1,9,5,0,8
2023-07-20,East,68,9,4,0,6,3,7,4
2023-07-20,West,97,9,11,3,2,1,5,1
2023-07-20,Central,47,1,0,8,6,0,4,7
2023-07-21,North,47,9,4,2,7,0,4,3
2023-07-21,South,86,9,8,4,9,2,1,16
2023-07-21,East,82,9,6,1,7,3,4,3
2023-07-21,West,99,2,3,7,3,3,7,3
2023-07-21,Central,55,1,0,10,2,1,4,3
2023-07-22,North,70,13,4,2,2,1,4,0
2023-07-22,South,80,8,6,1,6,1,2,8
2023-07-22,East,69,2,5,1,5,3,1,10
2023-07-22,West,91,8,14,5,6,5,5,8
2023-07-22,Central,52,0,0,6,4,1,6,2
2023-07-23,North,50,9,4,5,0,1,9,0
2023-07-23,South,71,11,3,5,5,4,0,12
2023-07-23,East,77,1,5,0,6,7,3,6
2023-07-23,West,71,7,11,3,1,4,4,3
2023-07-23,Central,49,0,0,9,2,1,2,1
2023-07-24,North,52,11,2,6,1,0,3,0
2023-07-24,South,96,7,13,2,4,3,0,8
2023-07-24,East,65,11,2,4,3,4,0,15
2023-07-24,West,68,3,3,4,1,2,5,5
2023-07-24,Central,53,0,0,8,12,1,5,1
2023-07-25,North,43,7,4,6,0,0,0,0
2023-07-25,South,87,12,6,0,1,2,0,13
2023-07-25,East,83,7,4,4,6,9,1,10
2023-07-25,West,93,3,3,4,7,5,4,7
2023-07-25,Central,45,0,2,10,3,2,2,0
2023-07-26,North,51,5,7,4,0,0,3,0
2023-07-26,South,78,7,3,2,5,3,0,13
2023-07-26,East,74,3,5,6,5,5,1,12
2023-07-26,West,73,6,5,4,2,5,4,8
2023-07-26,Central,46,0,1,15,5,0,1,0
2023-07-27,North,53,5,4,6,0,2,3,0
2023-07-27,South,54,13,7,0,6,0,0,14
2023-07-27,East,46,5,4,1,4,2,1,7
2023-07-27,West,78,11,5,0,2,5,6,6
2023-07-27,Central,50,4,1,12,5,0,1,1
2023-07-28,North,63,9,10,5,0,0,3,0
2023-07-28,South,63,11,4,0,4,1,0,10
2023-07-28,East,64,4,4,3,4,5,0,9
2023-07-28,West,86,4,5,2,1,9,0,5
2023-07-28,Central,52,1,2,8,9,0,2,1
2023-07-29,North,42,6,7,12,1,0,3,0
2023-07-29,South,57,14,7,0,1,2,0,15
2023-07-29,East,75,5,5,5,4,0,2,14
2023-07-29,West,77,5,5,4,0,4,4,4
2023-07-29,Central,61,0,6,7,9,1,1,0
2023-07-30,North,49,5,11,10,0,0,6,0
2023-07-30,South,45,4,5,0,1,0,0,7
2023-07-30,East,66,1,1,1,10,6,0,8
2023-07-30,West,63,4,1,3,0,4,4,7
2023-07-30,Central,39,0,1,13,5,1,1,2
2023-07-31,North,62,4,5,8,0,0,5,1
2023-07-31,South,66,7,8,0,2,2,0,10
2023-07-31,East,57,0,5,5,4,3,2,15
2023-07-31,West,68,8,7,3,0,5,3,1
2023-07-31,Central,43,0,1,10,6,0,1,7
2023-08-01,North,59,11,5,10,0,0,7,2
2023-08-01,South,55,5,3,0,0,2,0,14
2023-08-01,East,47,1,5,0,7,4,1,9
2023-08-01,West,58,8,8,3,1,8,1,2
2023-08-01,Central,35,2,3,9,4,0,1,2
2023-08-02,North,66,6,4,5,0,0,3,0
2023-08-02,South,37,5,4,0,3,1,0,3
2023-08-02,East,66,3,3,1,4,2,0,9
2023-08-02,West,64,11,3,0,2,8,1,3
2023-08-02,Central,36,1,2,12,5,1,3,6
2023-08-03,North,67,9,9,4,0,0,8,2
2023-08-03,South,35,6,7,0,3,4,1,3
2023-08-03,East,55,4,7,2,2,5,2,15
2023-08-03,West,60,3,5,0,0,4,2,3
2023-08-03,Central,35,0,1,8,2,2,0,1
2023-08-04,North,75,5,13,10,1,2,3,2
2023-08-04,South,38,5,2,0,2,2,0,3
2023-08-04,East,68,3,4,2,7,2,0,12
2023-08-04,West,52,6,4,0,0,3,1,4
2023-08-04,Central,35,1,0,5,1,2,0,5
2023-08-05,North,87,9,3,11,0,0,9,0
2023-08-05,South,55,6,8,2,4,1,0,8
2023-08-05,East,62,2,3,0,5,5,4,13
2023-08-05,West,65,5,3,0,0,5,1,1
2023-08-05,Central,36,2,1,6,8,1,0,4
2023-08-06,North,64,6,13,9,0,1,5,0
2023-08-06,South,38,7,1,1,0,1,0,7
2023-08-06,East,48,2,1,0,3,6,1,13
2023-08-06,West,56,10,3,0,0,7,0,0
2023-08-06,Central,51,0,0,12,6,1,0,6
2023-08-07,North,60,4,9,6,0,0,2,1
2023-08-07,South,48,6,8,0,3,0,1,3
2023-08-07,East,79,0,0,0,4,7,0,13
2023-08-07,West,48,4,6,0,0,4,2,0
2023-08-07,Central,37,5,0,3,1,1,2,3
2023-08-08,North,67,10,3,6,0,2,3,0
2023-08-08,South,42,6,6,0,2,2,0,2
2023-08-08,East,43,1,0,1,5,7,2,12
2023-08-08,West,47,6,7,0,0,5,0,0
2023-08-08,Central,29,0,0,6,1,1,0,2
2023-08-09,North,69,8,7,19,0,0,3,1
2023-08-09,South,37,9,7,0,4,1,0,0
2023-08-09,East,53,0,1,2,6,5,4,9
2023-08-09,West,55,12,0,0,0,7,0,0
2023-08-09,Central,19,2,0,9,2,0,1,0
2023-08-10,North,63,5,2,14,0,3,1,2
